labels,path
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a05.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d01.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa06.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n20.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n17.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n12.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h13.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su05.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n24.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n05.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa06.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f02.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa12.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f02.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d12.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a06.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su12.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n23.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa15.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f07.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h15.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su07.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa09.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d12.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa06.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa03.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa13.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su13.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h06.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su15.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a03.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n27.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a04.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f08.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n16.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d06.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su04.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d15.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n09.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n17.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su05.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n14.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n16.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n07.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a15.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa07.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a01.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su11.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su15.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d10.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d10.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su08.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a12.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n29.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su15.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n11.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a11.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa09.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h13.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h09.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n22.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d07.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su08.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f04.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n27.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d02.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su06.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a12.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h07.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n24.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f08.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h10.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d09.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a05.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n03.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su07.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h08.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su01.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f12.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n17.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su08.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n06.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n10.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h10.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n13.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n13.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su09.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n29.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n24.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n09.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n13.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f02.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n09.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su14.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h12.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa08.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa15.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n04.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n05.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa05.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d09.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f13.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d05.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h01.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d15.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa07.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su15.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a02.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a08.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f04.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f03.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f01.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n26.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa01.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n30.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n16.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h04.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n24.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h12.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n14.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n29.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n10.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su09.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa12.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f15.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a13.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h02.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa05.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n05.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a13.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f07.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa04.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d02.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d04.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a13.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n04.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su12.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n25.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f06.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f04.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h06.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h02.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h08.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su04.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n27.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n30.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f15.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d11.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n20.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d14.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h02.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f05.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d12.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa13.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h15.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su02.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a02.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f09.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa10.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d01.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n26.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su03.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a10.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a09.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h11.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n23.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n22.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d01.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f08.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h14.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su03.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n18.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n23.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su13.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n20.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d11.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d13.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a11.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a06.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n16.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d04.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su13.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n08.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n18.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h01.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f11.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d07.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su12.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a06.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n12.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n14.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h13.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su14.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d03.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n19.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su03.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su13.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a04.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_a03.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f11.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d02.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a07.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n19.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f09.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su06.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h11.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa02.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n19.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su10.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n20.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d07.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n28.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f13.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_f10.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_h04.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f14.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f15.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_su06.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n04.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a07.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d10.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h04.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d15.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f12.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_sa07.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n27.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d06.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a03.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n01.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su06.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f02.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_f10.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_su04.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_n21.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h08.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n21.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_su11.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa15.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d13.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_a01.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h05.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_f10.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d08.wav
angry,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_a10.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f04.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n26.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_d08.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_d06.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa11.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_sa04.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n28.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n05.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_h15.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d03.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa14.wav
happy,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_h03.wav
surprise,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_su11.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/DC_d07.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_sa14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n11.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_n07.wav
sad,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_sa05.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_n25.wav
disgust,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JE_d01.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n11.wav
fear,../input/surrey-audiovisual-expressed-emotion-savee/ALL/KL_f14.wav
neutral,../input/surrey-audiovisual-expressed-emotion-savee/ALL/JK_n14.wav
